experimento,vertices,aristas,seed,repeticiones,dijkstra_time_us_mean,dijkstra_time_us_std,dijkstra_time_us_min,dijkstra_time_us_max,bmssp_time_us_mean,bmssp_time_us_std,bmssp_time_us_min,bmssp_time_us_max,speedup_bmssp_vs_dijkstra,dijkstra_heap_bytes_mean,bmssp_heap_bytes_mean,dijkstra_peak_rss_kb_mean,dijkstra_peak_rss_kb_max,bmssp_peak_rss_kb_mean,bmssp_peak_rss_kb_max,correcto
exp1,100,1000,2125,10,32.6,11.3,27,55,307.7,30.95,289,394,9.4387,8976,298512,12900,12900,12900,12900,OK
exp1,200,2000,2225,10,64.8,6.51,61,78,614.9,41.34,566,698,9.4892,17968,616096,12900,12900,12900,12900,OK
exp1,400,4000,2425,10,161,22.31,141,214,877.7,90.8,790,1097,5.4516,35952,971680,12900,12900,12900,12900,OK
exp1,800,8000,2825,10,327.3,85.63,287,565,1438.4,61.57,1396,1604,4.3947,71920,1745056,12900,12900,12900,12900,OK
exp1,1600,16000,3625,10,657.4,26.04,624,708,2950.9,197.44,2759,3458,4.4887,143856,3337288,12900,12900,12900,12900,OK
exp1,3200,32000,5225,10,1518.3,97.61,1403,1691,5799.9,493.51,5466,7062,3.82,287728,6462468,12900,12900,12900,12900,OK
exp1,6400,64000,8425,10,3511.4,452.89,3149,4428,12180.1,1699.08,11291,16969,3.4687,575472,12323864,12900,12900,12900,12900,OK
exp2,5000,25000,2030,10,1820.1,174.11,1677,2264,6821.6,416.0,6439,7934,3.7479,302128,8004376,12900,12900,12900,12900,OK
exp2,5000,50000,2035,10,2614.3,206.07,2429,3026,9506,579.1,8816,10459,3.6362,564272,9652104,12900,12900,12900,12900,OK
exp2,5000,75000,2040,10,3103.2,154.87,2907,3440,11233.7,399.81,10519,11875,3.62,564272,11052880,12900,12900,12900,12900,OK
exp2,5000,100000,2045,10,3431.1,245.18,3263,4023,12637.9,1082.86,11848,15568,3.6833,564272,12376420,12900,12900,12900,12900,OK
exp2,5000,125000,2050,10,3550.7,86.39,3456,3670,14057.1,475.65,13470,14844,3.959,564272,13764352,12900,12900,13234.4,13256,OK
exp2,5000,150000,2055,10,3999.4,427.33,3757,5195,15701.8,909.64,15136,18168,3.926,564272,15093388,13962.8,14000,15410.8,15432,OK
exp2,5000,175000,2060,10,4149.9,84.84,4043,4286,16823.6,589.56,16196,17796,4.054,564272,16184736,16638,16684,18233.2,18288,OK
exp2,5000,200000,2065,10,4323.7,115.33,4201,4513,18352.2,852.18,17186,19539,4.2446,564272,17335204,18062.8,18092,19385.6,19404,OK
exp2,5000,225000,2070,10,4723.6,214.0,4491,5126,19509.4,666.23,18537,20625,4.1302,1088560,18321188,18827.2,18864,20021.6,20040,OK
exp2,5000,250000,2075,10,4824.7,80.96,4682,4925,19924.9,903.43,18889,21757,4.1298,1088560,19467424,19330.4,19372,20789.6,20848,OK
